rule,Def,num,support1,confidence1,lift1,support2,confidence2,lift2,support3,confidence3,lift3,support4,confidence4,lift4,support5,confidence5,lift5,support6,confidence6,lift6,support7,confidence7,lift7
"A1, Alc1->N1, I4","atmcond=Clear, alcres=Yes->numfatal=1, injury=Fatal Injury (K)",4,0.10675664,0.6983588,1.887822585,0.064940861,0.750967742,1.900641882,0.063955509,0.774193548,1.956680678,0.063924848,0.762295082,1.948484267,0.070707071,0.770491803,1.963361643,0.081974438,0.713190184,1.899775214,0.109119363,0.704963235,1.922850827
"N1, D-1, Alc1->A1, S1, I4","numfatal=1, druginv=Blank, alcres=Yes->atmcond=Clear, gender=Male, injury=Fatal Injury (K)",6,0.052426681,0.506265664,2.054748881,,,,,,,,,,,,,,,,0.054204012,0.527700831,2.129281941
"P1, D-1, Alc0->S1, I4","ptype=Driver of a Motor Vehicle In-Transport, druginv=Blank, alcres=No->gender=Male, injury=Fatal Injury (K)",5,,,,,,,0.061058973,0.519723866,1.636532903,0.059800664,0.53814433,1.697059919,0.056522674,0.538382805,1.696644219,,,,,,
"N1, A1, Ag5->I4","numfatal=1, atmcond=Clear, age=45+->injury=Fatal Injury (K)",4,0.109265507,0.535169492,1.205147896,0.144052667,0.544266442,1.204671734,0.144363341,0.537996546,1.177942209,0.147210448,0.53297387,1.179297569,0.147109392,0.545201115,1.200009834,0.137417364,0.528653781,1.205300873,0.117299758,0.530054645,1.208679351
"D-1, S1, Alc1->P1, I4","druginv=Blank, gender=Male, alcres=Yes->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",5,0.05727139,0.569217541,2.026982611,,,,,,,,,,,,,,,,0.057974107,0.589298626,2.166978835
"N1, P1, Ag5, Alc0->I4","numfatal=1, ptype=Driver of a Motor Vehicle In-Transport, age=45+, alcres=No->injury=Fatal Injury (K)",5,,,,0.072528453,0.695931478,1.540365004,0.073456146,0.659043659,1.442974587,0.070683927,0.670652174,1.48393481,0.066623684,0.667384284,1.468939959,0.061084178,0.691616766,1.57684731,,,
P5->I4,ptype=Pedestrian->injury=Fatal Injury (K),2,0.051821092,0.911719939,2.053101651,0.066503013,0.943037975,2.087307071,0.065577569,0.941763727,2.06198953,0.066674304,0.955665025,2.114575412,0.069632495,0.921763869,2.028839774,0.05976201,0.919945726,2.09742449,0.055982359,0.917249417,2.091596481
"A1, Alc0->P1, I4","atmcond=Clear, alcres=No->ptype=Driver of a Motor Vehicle In-Transport, injury=Fatal Injury (K)",4,0.07959166,0.505772402,1.80105459,0.114818121,0.507897335,1.735993865,0.113196617,0.515839493,1.71966422,0.109863673,0.508214096,1.736961961,0.106920266,0.506619145,1.711909136,0.098986338,0.511617312,1.799224552,,,
"N1, S1, Alc0->A1, I4","numfatal=1, gender=Male, alcres=No->atmcond=Clear, injury=Fatal Injury (K)",5,0.06730686,0.547116737,1.619493563,0.100535595,0.524447031,1.575098625,,,,0.096918318,0.511178248,1.539177276,0.09004943,0.51505839,1.515854957,0.081798149,0.507381083,1.530914463,0.068715322,0.531938326,1.559864202
"N1, A1, Alc1->S1, I4","numfatal=1, atmcond=Clear, alcres=Yes->gender=Male, injury=Fatal Injury (K)",5,0.090665282,0.675257732,2.10102399,0.051774158,0.646239554,2.069167162,0.051905921,0.687116564,2.163627533,0.052927025,0.6875,2.168059068,0.057704707,0.683206107,2.153036245,0.067430586,0.665217391,2.175523582,0.090980225,0.671391076,2.116236715
